video_id,event_label,subaction_label,start_time,end_time,talent_label
V039,Uneven_Bars,Spin,8.56,13.4,0
V039,Uneven_Bars,Flip,20.18,23.53,1
V040,Balance_Beam,Flip,18.07,20.23,0
V040,Balance_Beam,Roll,34.88,37.65,1
V040,Balance_Beam,Flip,45.82,47.17,1
V040,Balance_Beam,Leap,3.62,6.65,1
V040,Balance_Beam,Spin,47.77,51.04,1
V041,Balance_Beam,Leap,28.96,30.89,1
V041,Balance_Beam,Roll,27.67,30.02,0
V041,Balance_Beam,Handstand,43.8,47.61,1
V041,Balance_Beam,Spin,16.64,19.41,1
V041,Balance_Beam,Leap,5.37,9.24,1
V042,Uneven_Bars,Leap,41.8,44.85,0
V042,Uneven_Bars,Roll,0.1,3.01,0
V042,Uneven_Bars,Spin,4.66,9.32,0
V042,Uneven_Bars,Handstand,4.98,6.1,0
V042,Uneven_Bars,Leap,49.61,52.26,0
V043,Balance_Beam,Leap,45.54,46.91,1
V043,Balance_Beam,Flip,17.26,20.1,1
V043,Balance_Beam,Spin,2.94,5.32,0
V043,Balance_Beam,Leap,9.01,10.07,0
V043,Balance_Beam,Roll,43.33,46.96,1
V044,Uneven_Bars,Roll,24.02,25.15,0
V044,Uneven_Bars,Swing,5.97,10.14,1
V044,Uneven_Bars,Leap,41.41,45.46,0
V044,Uneven_Bars,Spin,3.75,5.07,0
V044,Uneven_Bars,Handstand,35.66,37.25,1
V045,Uneven_Bars,Roll,1.46,2.58,1
V045,Uneven_Bars,Spin,1.21,3.08,1
V045,Uneven_Bars,Swing,11.34,13.01,0
V045,Uneven_Bars,Flip,0.87,4.42,0
V045,Uneven_Bars,Swing,4.83,6.74,0
V046,Uneven_Bars,Leap,37.6,40.95,0
V046,Uneven_Bars,Swing,10.51,12.88,0
V046,Uneven_Bars,Handstand,27.19,28.71,0
V046,Uneven_Bars,Swing,27.36,31.36,1
V046,Uneven_Bars,Leap,39.85,42.44,0
V047,Uneven_Bars,Swing,0.53,2.62,1
V047,Uneven_Bars,Leap,24.47,28.51,0
V047,Uneven_Bars,Leap,4.38,8.38,0
V047,Uneven_Bars,Flip,42.67,46.8,0
V047,Uneven_Bars,Handstand,10.99,12.0,1
V048,Uneven_Bars,Leap,19.06,22.44,0
V048,Uneven_Bars,Leap,8.62,9.94,0
V048,Uneven_Bars,Leap,34.9,38.7,1
V048,Uneven_Bars,Flip,13.41,16.56,1
V048,Uneven_Bars,Spin,34.99,36.88,1
V049,Uneven_Bars,Roll,17.51,20.22,0
V049,Uneven_Bars,Swing,26.85,31.76,1
V049,Uneven_Bars,Swing,9.6,11.36,1
V049,Uneven_Bars,Leap,38.34,41.52,1
V049,Uneven_Bars,Handstand,13.32,15.01,1
V050,Balance_Beam,Roll,3.48,7.17,1
V050,Balance_Beam,Swing,3.35,7.91,0
V050,Balance_Beam,Handstand,19.71,22.5,1
V050,Balance_Beam,Spin,4.74,7.23,1
V050,Balance_Beam,Flip,41.44,45.53,1
